DateOfDataEntry,Square,Member,SubMember,ToolNumber,RawMaterial,OtherRaw MaterialID,CoreTypology,OverallCortexArea,CortexType,CoreArtifactClass,EvidenceBipolar,NumberCoreFaces,WhichIsPlatform,CoreBlankSphericity,IntendedProduct,CoreSubTypology,ConardUnifiedType,BipolarChronology,DegreeOfKnappingAlongCircumference,OverallScarCount,LengthLongestFlakeScar,MaxLength,MaxWidth,MaxThickness,Mass,OtherNotes,Photograph,FeatureName
12.04.15,P14,CL,CL1,507,Quartz,,Chunks<2flakescars,11-40%,Cobble,,Yes,,,,Flake,,,,,,,11.49,8.94,6.4,0.7,,No,
12.04.15,P14,CL,CL1,508,Quartz,,Chunks<2flakescars,11-40%,Outcrop,,Yes,,,,BladeBladelet,,,,,,,14.67,10.15,7.89,1.03,chilled core,No,
12.04.15,P14,CL,CL1,509,CrystallineQuartz,,Core>2flakescars,41-60%,Outcrop,CompCore,Yes,1,None,SphericalOrCubic,BladeBladelet,CoreReducedPiece,Bipolar,NoFH,90-180,,,17.64,13.43,8.86,1.46,nice eg of crystal bp flaking,Yes,
12.04.15,P14,CL,CL1,510,Quartz,,Chunks<2flakescars,41-60%,Outcrop,,Yes,,,,BladeBladelet,,,,,,,12.8,10.04,9.01,1.12,,No,
12.04.15,P14,CL,CL1,511,CrystallineQuartz,,Core>2flakescars,11-40%,Outcrop,CompCore,Yes,2,None,SphericalOrCubic,BladeBladelet,CoreReducedPiece,Bipolar,NoFH,180-270,,,12.59,13.3,6.96,1.12,good eg of flake scars following quartz crystal ctructure,Yes,
12.04.15,P14,CL,CL1,512,Quartz,,Core>2flakescars,1-9%,Outcrop,CompCore,Yes,3,None,SphericalOrCubic,BladeBladelet,RiceGrainCore,Bipolar,NoFH,270-360,,,16.12,6.93,5.28,0.56,,Yes,
12.04.15,P14,CL,CL1,513,Quartz,,Core>2flakescars,0%,,CoreFrag,Yes,1,None,SphericalOrCubic,BladeBladelet,RiceGrainCore,Bipolar,NoFH,270-360,,,14.09,5.39,4.47,0.4,chilled rice grain,Yes,
12.04.15,P14,CL,CL1,514,Quartzite,,Core>2flakescars,0%,,CompCore,Yes,3,None,SphericalOrCubic,BladeBladelet,RiceGrainCore,Bipolar,NoFH,270-360,,,13.54,6.28,4.06,0.42,,Yes,
12.08.15,P14,CL,CL1,531,FineChert,,Chunks<2flakescars,11-40%,Outcrop,,No,,,,Indeterminate,,,,,,,12.39,11.57,14.79,2.2,nice section at the back of the chunk for holding during knapping,Yes,
12.11.15,P14,CL,CL1,605,CoarseChert,,Core>2flakescars,1-9%,Outcrop,CompCore,Yes,1,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Bipolar,NoFH,270-360,,,20.33,18.92,6.07,2.37,,Yes,
12.11.15,P14,CL,CL1,606,Chalcedony,,Core>2flakescars,0%,,CompCore,Yes,2,None,NotSphericalFlat,Indeterminate,CoreReducedPiece,Bipolar,NoFH,270-360,,,14.88,14.7,5.91,1.6,,Yes,
12.11.15,P14,CL,CL1,607,Quartz,,Core>2flakescars,0%,,CompCore,Yes,2,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Bipolar,NoFH,270-360,,,12.96,11.19,3.78,0.63,,No,
12.04.15,P14,CL,CL1,92,Quartz,,Core>2flakescars,11-40%,,CompCore,Yes,,,SphericalOrCubic,,RiceGrainCore,,NoFH,180-270,4,,12.16,6.01,4.11,0.38,,No,
12.04.15,P14,CL,CL1,93,FineChert,,Core>2flakescars,1-9%,,CompCore,Yes,,,SphericalOrCubic,,RiceGrainCore,,NoFH,270-360,4,,11.28,5.86,4.11,0.27,great chert rice grain,Yes,
12.04.15,P14,CL,CL1,94,Quartz,,Core>2flakescars,0%,,CoreFrag,Yes,,,NotSphericalFlat,,FlatBladeletCore,,NoFH,270-360,5,,10.21,7.46,3.42,0.31,,No,
12.04.15,P14,CL,CL1,95,Quartz,,Core>2flakescars,1-9%,,CoreFrag,Yes,,,NotSphericalFlat,,FlatBladeletCore,,NoFH,180-270,6,,11.84,4.97,2.41,0.2,chilled core,No,
12.07.15,P14,CL,CL1,96,Quartz,,Core>2flakescars,0%,,CompCore,Yes,,,SphericalOrCubic,,RiceGrainCore,,NoFH,270-360,3,,8.2,3.97,3.47,0.13,,Yes,
12.07.15,P14,CL,CL1,97,Quartz,,Core>2flakescars,11-40%,,CompCore,Yes,,,NotSphericalFlat,,FlatBladeletCore,,NoFH,180-270,7,,5.83,3.42,1.67,0.12,,Yes,
12.07.15,P14,CL,CL1,98,CrystallineQuartz,,Core>2flakescars,0%,,CoreFrag,Yes,,,NotSphericalFlat,,CoreReducedPiece,,NoFH,180-270,3,,7.66,3.06,1.84,0.07,,Yes,
12.07.15,P14,CL,CL1,99,Quartz,,Core>2flakescars,0%,,CoreFrag,Yes,,,NotSphericalFlat,,FlatBladeletCore,,NoFH,180-270,4,,8.74,6.22,2.56,0.15,chilled,Yes,
12.07.15,P14,CL,CL1,100,Quartz,,Core>2flakescars,11-40%,,CompCore,Yes,,,SphericalOrCubic,,RiceGrainCore,,NoFH,270-360,,,9.06,3.62,3.13,0.14,only non flaked are cortical,Yes,
12.07.15,P14,CL,CL1,101,Chalcedony,,Core>2flakescars,0%,,CompCore,Yes,,,SphericalOrCubic,,CoreReducedPiece,,NoFH,270-360,4,,8.92,4.78,2.96,0.13,,Yes,
12.07.15,P14,CL,CL1,102,CrystallineQuartz,,Core>2flakescars,1-9%,,CompCore,Yes,,,SphericalOrCubic,,RiceGrainCore,,NoFH,270-360,5,,7.73,3.31,2.2,0.07,,Yes,
12.07.15,P14,CL,CL1,103,Quartz,,Core>2flakescars,1-9%,,CoreFrag,Yes,,,SphericalOrCubic,,RiceGrainCore,,NoFH,180-270,7,,7.56,3.06,2.12,0.06,chilled,No,
12.07.15,P14,CL,CL1,104,CrystallineQuartz,,Core>2flakescars,41-60%,,CompCore,Yes,,,SphericalOrCubic,,RiceGrainCore,,NoFH,180-270,4,,9.08,3.33,2.44,0.08,only non flaked is cortical,Yes,
12.07.15,P14,CL,CL1,105,Quartz,,Core>2flakescars,0%,,CompCore,Yes,,,SphericalOrCubic,,RiceGrainCore,,NoFH,270-360,7,,8.9,3.25,1.74,0.07,,Yes,
12.07.15,P14,CL,CL1,106,CrystallineQuartz,,Core>2flakescars,0%,,CoreFrag,Yes,,,SphericalOrCubic,,RiceGrainCore,,NoFH,180-270,7,,7.96,3.84,2.52,0.08,chilled,Yes,
12.07.15,P14,CL,CL1,107,CrystallineQuartz,,Core>2flakescars,0%,,CompCore,Yes,,,NotSphericalFlat,,FlatBladeletCore,,NoFH,270-360,5,,4.7,4.35,2.7,0.09,,Yes,
12.07.15,P14,CL,CL1,108,Quartz,,Core>2flakescars,0%,,CompCore,Yes,,,NotSphericalFlat,,FlatBladeletCore,,NoFH,270-360,7,,5.73,5.6,2.12,0.07,two directions of bp flaking,Yes,
12.07.15,P14,CL,CL1,109,Quartz,,Core>2flakescars,0%,,CoreFrag,Yes,,,SphericalOrCubic,,RiceGrainCore,,NoFH,270-360,6,,7.51,4.65,2.88,0.09,,Yes,
12.07.15,P14,CL,CL1,110,CrystallineQuartz,,Core>2flakescars,1-9%,,CompCore,Yes,,,SphericalOrCubic,,CoreReducedPiece,,NoFH,270-360,6,,9.18,7.7,4.37,0.3,,No,
12.07.15,P14,CL,CL1,111,Chalcedony,,Core>2flakescars,41-60%,,CompCore,Yes,,,NotSphericalFlat,,FlatBladeletCore,,NoFH,180-270,6,,8.81,6.98,2.66,0.19,non flaked is cortical,Yes,
12.07.15,P14,CL,CL1,112,Quartz,,Core>2flakescars,1-9%,,CoreFrag,Yes,,,SphericalOrCubic,,FlatBladeletCore,,NoFH,180-270,6,,11.07,7.1,2.86,0.21,chilled,No,
12.07.15,P14,CL,CL1,113,Quartz,,Core>2flakescars,0%,,CompCore,Yes,,,NotSphericalFlat,,FlatBladeletCore,,NoFH,270-360,4,,10.8,8.65,3.53,0.35,hollow base suggestive of resting on a feature during bp,Yes,
12.07.15,P14,CL,CL1,114,CrystallineQuartz,,Core>2flakescars,11-40%,,CompCore,Yes,,,SphericalOrCubic,,RiceGrainCore,,NoFH,270-360,7,,6.8,2.49,2.46,0.05,,Yes,
12.07.15,P14,CL,CL1,115,CrystallineQuartz,,Core>2flakescars,0%,,CompCore,Yes,,,NotSphericalFlat,,CoreReducedPiece,,NoFH,270-360,4,,8.64,6.12,2.12,0.1,,No,
12.07.15,P14,CL,CL1,116,Quartz,,Core>2flakescars,11-40%,,CompCore,Yes,,,SphericalOrCubic,,RiceGrainCore,,NoFH,180-270,7,,9.16,4,3.5,0.19,,No,
12.07.15,P14,CL,CL1,117,CrystallineQuartz,,Core>2flakescars,0%,,CompCore,Yes,,,SphericalOrCubic,,RiceGrainCore,,NoFH,270-360,6,,7.62,3.86,2.54,0.09,,Yes,
12.07.15,P14,CL,CL1,118,CrystallineQuartz,,Core>2flakescars,0%,,CompCore,Yes,,,SphericalOrCubic,,RiceGrainCore,,NoFH,270-360,5,,8.68,5.15,3.71,0.14,possile signs of use at distal and lateral edges,Yes,
12.07.15,P14,CL,CL1,119,CrystallineQuartz,,Core>2flakescars,0%,,CoreFrag,Yes,,,SphericalOrCubic,,RiceGrainCore,,NoFH,180-270,7,,7.74,4.97,2.09,0.07,chilled,Yes,
12.07.15,P14,CL,CL1,120,FineChert,,Core>2flakescars,0%,,CompCore,Yes,,,NotSphericalFlat,,FlatBladeletCore,,NoFH,270-360,3,,7.5,5.93,1.9,0.12,great eg of non quartz bp flat core,Yes,
12.08.15,P14,CL,CL1,155,Quartz,,Core>2flakescars,0%,,CompCore,Yes,,,SphericalOrCubic,,RiceGrainCore,,NoFH,270-360,7,,11.87,5.68,4.24,0.37,,Yes,
12.11.15,P14,CL,CL1,307,Chalcedony,,Core>2flakescars,0%,,CoreFrag,Yes,,,SphericalOrCubic,,RiceGrainCore,,NoFH,180-270,5,,11.72,5.86,4.35,0.32,chilled,No,
12.11.15,P14,CL,CL1,308,CrystallineQuartz,,Core>2flakescars,1-9%,,CompCore,Yes,,,SphericalOrCubic,,CoreReducedPiece,,NoFH,270-360,7,,11.56,5.82,4.75,0.32,,No,
12.11.15,P14,CL,CL1,309,CrystallineQuartz,,Core>2flakescars,11-40%,,CoreFrag,Yes,,,NotSphericalFlat,,RiceGrainCore,,NoFH,90-180,7,,9.38,4.32,2.43,0.11,chilled,No,
12.04.15,P14,CL,CL1,506,CrystallineQuartz,,Core>2flakescars,11-40%,Outcrop,CoreFrag,Yes,1,None,NotSphericalFlat,BladeBladelet,CoreReducedPiece,Bipolar,NoFH,180-270,,,17.19,9.88,7.17,0.98,chilled core,Yes,AF11
12.04.15,P14,CL,CL1,88,Quartz,,Core>2flakescars,0%,,CompCore,Yes,,,NotSphericalFlat,,FlatBladeletCore,,NoFH,270-360,3,,10.4,5.81,2.18,0.15,,Yes,AF11
12.04.15,P14,CL,CL1,89,Quartz,,Chunks<2flakescars,11-40%,,,Yes,,,,,,,NoFH,180-270,6,,9.01,5.75,4.25,0.32,,No,AF11
12.04.15,P14,CL,CL1,90,CrystallineQuartz,,Core>2flakescars,1-9%,,CoreFrag,Yes,,,NotSphericalFlat,,FlatBladeletCore,,NoFH,270-360,0,,8.51,4.98,2,0.16,,Yes,AF11
